source_id,bp_rp,target_class,period
2008570391179169792,2.583838,CEP,2.99021770259848
2009559470606505088,3.209095,CEP,8.44342788089256
2010134274671099264,1.69162,CEP,3.91941803778771
2010285491880986112,1.465435,CEP,5.44091216438759
2011184205192790784,2.449543,CEP,7.67660999567363
2011303326105008768,2.197285,CEP,4.7897316558324
2011315528113463808,1.858105,CEP,4.99744851730905
2011488250218029184,2.047291,CEP,8.19177570985753
2011892320749270912,1.514999,CEP,4.47940456839853
2011892325047232256,1.485782,CEP,5.14092743049317
2011892703004353792,1.59435,CEP,4.87496475960741
2012181324799904512,2.664343,CEP,3.90386217861076
2012277910026607744,2.853657,CEP,11.833756295192
2012494342018730496,1.961801,CEP,3.87128255748494
2012643600728382208,2.379679,CEP,7.67825883213024
2012787293154800896,1.707917,CEP,4.56605272086347
2013029941628292352,1.480394,CEP,9.81077568005935
2013131813945245312,2.338901,CEP,5.86971600874405
2013344882984638464,2.327051,CEP,1.40442434491996
2014609252631258496,2.065451,CEP,4.27876242520996
2014709102031762944,3.060771,CEP,5.43543372947126
201509768065410944,1.37561,CEP,10.146213057062
2015458213056909184,1.769882,CEP,3.99990388205409
2015622212085282048,1.909936,CEP,5.66493773669552
201574982848108416,1.644614,CEP,10.2875587752036
2015820463470505600,1.962568,CEP,6.29615707827234
2016028168089215488,2.017652,CEP,7.80219910506333
2016581673416790656,2.322683,CEP,15.0875950633101
2016626856473497344,2.263544,CEP,14.3798699348971
2016648022068515840,2.365045,CEP,4.74288484352395
2017334941957163008,3.31374,CEP,14.8435348758613
2017756639046519552,3.174506,CEP,14.5726844750632
2018385387883485056,3.229552,CEP,70.7971894425745
2018408718146733952,3.437254,CEP,10.6426647591936
2019880203996185472,3.396139,CEP,19.8703048247226
2020020464757138560,3.5655,CEP,4.78697184922781
2020519093290493312,3.288745,CEP,11.1645040965522
2020714634574554240,3.423842,CEP,8.52402769494231
2020938380858128896,2.71211,CEP,7.37836825026141
2021147807811087744,2.681529,CEP,5.17083811321949
2021149938115539968,3.302428,CEP,5.22575143441954
2023647165192089856,1.368935,CEP,6.79914953071967
2024403049430426752,1.95751,CEP,30.9625396152068
2026857124982231296,2.249404,CEP,1.01767316105268
2026993563193159168,2.988865,CEP,12.646363515281
2027002290578474368,3.554893,CEP,20.7553929505661
2027003119517288832,2.857653,CEP,6.64656496077147
2027019749631002496,3.546543,CEP,5.94782713313776
2027263738133623168,1.876393,CEP,6.31970318636207
2027487621870155392,3.260543,CEP,15.2119164741667
2027621594813939840,2.528184,CEP,13.6036295078928
2027827959400312832,3.487161,CEP,16.2343296142367
2027951173435143680,1.898721,CEP,44.9137590141772
2027952753983439104,2.467474,CEP,8.30599626760445
2027964779892391936,3.171525,CEP,10.5341164255944
2027971514401523456,2.230767,CEP,69.467416955503
2028007042373383552,3.177798,CEP,6.46852737138377
2028224024136014464,2.309502,CEP,12.2276431627125
2028502303636578048,3.285671,CEP,3.26811661843648
2028781025505284096,2.774004,CEP,6.23945687031215
2029230730076735488,3.381382,CEP,30.9885948207739
2029246535556644864,3.312374,CEP,9.83360019169622
202939854734748032,1.601649,CEP,8.6395925701707
2030002003130970368,3.38336,CEP,5.63201599937103
2030036736506607616,4.184956,CEP,18.4518403427577
2030063919381336832,1.670691,CEP,7.8183158642719
2030128270848802560,2.834705,CEP,3.57409771292599
2030367281528186240,2.490037,CEP,5.08026525950357
2030403324896259712,2.776436,CEP,8.98814991509366
2030413735897352832,2.841156,CEP,4.80309971551
2030427789038000256,1.867376,CEP,11.6620209100407
2030637898807177344,2.446737,CEP,5.69819495777226
2030848897634605440,2.147004,CEP,6.9621082628838
2031776202613700480,0.888869,CEP,3.84563031781376
2033008274099620480,1.636168,CEP,4.28916298792185
2033483641084424448,2.694742,CEP,6.79483885497114
2033589572148408832,2.146682,CEP,4.8508979850024
2033636644993530240,2.508639,CEP,21.7676294833314
2034137060207366272,2.587494,CEP,3.84586891888336
2034155854985643520,2.590919,CEP,4.92011799461442
2034428980559814400,1.877831,CEP,5.78247050063585
2035402872974695936,1.563536,CEP,31.4459620343926
2037378523542899840,1.621334,CEP,9.75598121195076
2037889315421818496,1.494946,CEP,12.9636774083684
2037911752331602176,1.098412,CEP,41.2076176904499
